"filename", "language", "JSON", "JSON with Comments", "TypeScript", "PostCSS", "SCSS", "HTML", "Dotenv", "Markdown", "XML", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 24, 60
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\angular.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\package-lock.json", "JSON", 9717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9718
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\postcss.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\proxy.conf.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\public\images\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\public\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 338, 0, 1, 339
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\app.config.server.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\app.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-Angular\src\app\app.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
